datum,pacient_prvni_zaznam,kum_pacient_prvni_zaznam,pocet_hosp,stav_bez_priznaku,stav_lehky,stav_stredni,stav_tezky,jip,kyslik,hfno,upv,ecmo,tezky_upv_ecmo,umrti,kum_umrti
2020-03-27,40,306,237,5,68,117,47,59,84,0,33,1,48,2,10
2020-03-28,45,351,271,10,85,120,56,63,98,0,37,1,57,4,14
2020-03-29,28,379,282,11,103,115,53,61,98,0,37,2,53,5,19
2020-03-30,24,403,294,8,101,119,66,73,107,0,47,3,66,4,23
2020-03-31,44,447,322,8,107,135,72,82,110,0,55,3,72,6,29
2020-04-01,45,492,345,12,121,138,74,88,104,0,59,4,74,7,36
2020-04-02,39,531,351,15,125,135,76,87,102,0,65,2,76,5,41
2020-04-03,41,572,375,24,118,147,86,94,126,0,65,2,86,7,48
2020-04-04,29,601,365,20,104,157,84,90,131,0,62,2,84,8,56
2020-04-05,25,626,370,19,112,158,81,90,138,0,61,2,81,8,64
2020-04-06,38,664,394,24,121,163,86,95,133,0,64,2,87,8,72
2020-04-07,42,706,412,34,117,162,99,101,137,0,63,2,99,8,80
2020-04-08,33,739,422,41,122,165,94,95,136,0,61,3,94,12,92
2020-04-09,36,775,416,46,115,159,96,94,136,0,64,3,96,9,101
2020-04-10,26,801,406,40,114,163,89,90,135,0,62,3,89,6,107
2020-04-11,24,825,406,44,114,161,87,94,124,0,62,3,87,5,112
2020-04-12,16,841,402,39,108,155,100,99,142,0,63,3,100,6,118
2020-04-13,13,854,395,44,107,151,93,93,123,0,61,3,93,10,128
2020-04-14,10,864,386,44,111,148,83,83,111,0,59,5,83,6,134
2020-04-15,20,884,371,42,110,143,76,79,108,0,57,4,77,0,134
2020-04-16,23,907,363,50,92,138,83,87,108,0,57,3,83,2,136
2020-04-17,25,932,355,42,96,137,80,86,109,0,56,3,81,7,143
2020-04-18,15,947,339,42,98,125,74,81,103,0,51,3,75,2,145
2020-04-19,23,970,345,41,97,128,79,84,106,0,52,3,81,7,152
2020-04-20,25,995,348,52,104,116,76,86,89,0,54,3,78,5,157
2020-04-21,40,1035,365,65,110,112,78,82,84,0,48,4,79,5,162
2020-04-22,16,1051,342,73,88,107,74,78,83,0,47,4,75,1,163
2020-04-23,27,1078,335,70,92,95,78,75,82,0,45,4,78,4,167
2020-04-24,20,1098,329,76,81,97,75,73,81,0,47,4,75,5,172
2020-04-25,11,1109,314,73,73,97,71,69,74,0,43,4,71,4,176
2020-04-26,10,1119,309,71,78,88,72,67,71,0,45,4,72,1,177
2020-04-27,14,1133,309,76,74,91,68,68,74,0,45,3,68,1,178
2020-04-28,12,1145,305,73,81,83,68,61,66,0,42,3,68,4,182
2020-04-29,4,1149,286,63,83,78,62,60,65,0,42,2,64,5,187
2020-04-30,19,1168,273,64,76,75,58,52,66,0,39,2,60,6,193
2020-05-01,8,1176,244,48,70,73,53,46,64,0,35,1,55,6,199
2020-05-02,11,1187,233,52,62,70,49,47,58,0,32,1,50,1,200
2020-05-03,6,1193,232,62,62,59,49,45,53,0,31,1,50,1,201
2020-05-04,11,1204,236,67,56,59,54,47,47,0,32,1,55,4,205
2020-05-05,12,1216,223,61,60,56,46,37,43,0,29,1,47,3,208
2020-05-06,4,1220,209,53,58,55,43,35,41,0,28,1,44,2,210
2020-05-07,10,1230,191,48,56,46,41,36,39,0,24,0,41,4,214
2020-05-08,9,1239,185,44,55,43,43,40,41,0,27,0,44,5,219
2020-05-09,6,1245,173,41,52,41,39,34,39,0,25,0,39,3,222
2020-05-10,4,1249,167,35,53,40,39,34,38,0,24,0,39,2,224
2020-05-11,5,1254,167,37,51,37,42,35,38,0,27,0,42,1,225
2020-05-12,5,1259,157,35,47,35,40,32,40,0,25,0,40,2,227
2020-05-13,6,1265,146,29,46,33,38,29,34,0,19,0,39,3,230
2020-05-14,5,1270,128,30,37,27,34,29,26,0,19,0,35,2,232
2020-05-15,3,1273,118,30,35,19,34,29,25,0,18,0,35,2,234
2020-05-16,3,1276,112,27,33,19,33,28,20,0,16,0,34,1,235
2020-05-17,1,1277,110,24,30,22,34,28,24,0,17,0,35,2,237
2020-05-18,9,1286,115,22,37,24,32,29,25,0,18,0,33,3,240
2020-05-19,4,1290,109,23,33,22,31,26,24,0,18,0,32,2,242
2020-05-20,5,1295,101,23,26,21,31,25,23,0,19,0,32,2,244
2020-05-21,7,1302,101,16,35,21,29,23,24,0,17,0,30,2,246
2020-05-22,6,1308,98,19,32,23,24,17,16,0,14,0,25,2,248
2020-05-23,4,1312,93,15,32,24,22,18,16,0,14,0,23,1,249
2020-05-24,5,1317,94,16,32,25,21,19,15,0,14,0,22,1,250
2020-05-25,3,1320,91,15,31,26,19,18,14,0,12,0,20,1,251
2020-05-26,8,1328,92,19,27,31,15,16,15,0,10,0,16,0,251
2020-05-27,4,1332,86,15,27,29,15,16,17,0,10,0,17,0,251
2020-05-28,4,1336,73,12,21,25,15,13,12,0,8,0,15,1,252
2020-05-29,3,1339,71,11,20,25,15,12,14,0,9,0,15,0,252
2020-05-30,8,1347,72,19,18,23,12,12,12,0,7,0,12,0,252
2020-05-31,2,1349,70,20,18,20,12,11,13,0,7,0,12,0,252
2020-06-01,4,1353,73,20,22,18,13,11,12,0,6,0,13,1,253
2020-06-02,5,1358,75,21,23,20,11,9,11,0,6,0,11,1,254
2020-06-03,0,1358,65,18,22,15,10,8,11,0,6,0,10,1,255
2020-06-04,4,1362,60,20,13,18,9,8,9,0,6,0,9,3,258
2020-06-05,9,1371,60,19,19,13,9,6,12,0,5,0,9,0,258
2020-06-06,4,1375,59,17,21,13,8,8,12,0,5,0,9,0,258
2020-06-07,4,1379,61,18,21,12,10,9,12,0,6,0,10,1,259
2020-06-08,1,1380,60,15,22,14,9,9,10,0,5,0,9,0,259
2020-06-09,4,1384,63,13,22,19,9,11,12,0,5,0,9,1,260
2020-06-10,6,1390,66,15,25,15,11,12,13,0,5,0,11,1,261
2020-06-11,4,1394,65,17,20,16,12,10,15,0,4,0,12,1,262
2020-06-12,6,1400,69,16,24,18,11,11,17,0,5,0,11,0,262
2020-06-13,4,1404,67,15,20,20,12,10,17,0,5,0,12,0,262
2020-06-14,5,1409,68,17,21,20,10,11,15,0,5,0,10,1,263
2020-06-15,11,1420,77,24,24,20,9,8,16,0,3,0,9,1,264
2020-06-16,6,1426,78,22,28,20,8,4,14,0,2,0,8,1,265
2020-06-17,7,1433,84,26,28,23,7,6,13,0,3,0,8,1,266
2020-06-18,7,1440,83,27,24,22,10,8,11,0,4,0,10,1,267
2020-06-19,7,1447,82,27,23,24,8,7,9,0,5,0,8,0,267
2020-06-20,6,1453,80,28,21,22,9,7,10,0,5,0,9,0,267
2020-06-21,2,1455,74,21,19,25,9,9,10,0,6,0,9,1,268
2020-06-22,3,1458,75,21,20,25,9,9,9,0,6,0,9,1,269
2020-06-23,5,1463,76,20,19,28,9,6,14,0,4,0,9,0,269
2020-06-24,7,1470,78,16,21,28,13,7,10,0,5,0,13,4,273
2020-06-25,1,1471,67,12,18,25,12,9,14,0,5,0,12,0,273
2020-06-26,5,1476,64,12,15,26,11,8,18,0,4,0,11,1,274
2020-06-27,4,1480,61,10,13,27,11,9,23,0,2,0,11,0,274
2020-06-28,7,1487,66,11,14,28,13,10,24,0,4,0,14,0,274
2020-06-29,5,1492,69,13,13,32,11,10,26,0,4,0,11,0,274
2020-06-30,4,1496,71,15,12,33,11,8,27,0,4,0,11,1,275
2020-07-01,10,1506,75,15,18,32,10,10,28,0,4,0,10,0,275
2020-07-02,4,1510,72,11,22,28,11,10,28,0,3,0,11,1,276
2020-07-03,7,1517,71,13,22,25,11,11,28,0,3,0,11,0,276
2020-07-04,3,1520,70,15,20,22,13,11,29,0,4,0,13,2,278
2020-07-05,9,1529,73,14,24,22,13,13,24,0,6,1,13,2,280
2020-07-06,2,1531,69,11,25,23,10,11,22,0,5,1,10,1,281
2020-07-07,10,1541,77,14,28,24,11,13,24,0,7,1,11,0,281
2020-07-08,10,1551,85,17,29,29,10,14,30,0,6,1,10,0,281
2020-07-09,5,1556,73,10,25,23,15,15,25,0,8,1,15,1,282
2020-07-10,5,1561,69,12,18,24,15,15,27,0,9,1,15,0,282
2020-07-11,3,1564,64,11,18,21,14,13,26,0,10,0,14,0,282
2020-07-12,3,1567,65,8,20,22,15,14,28,0,11,0,15,0,282
2020-07-13,8,1575,71,7,23,22,19,14,32,0,11,1,19,1,283
2020-07-14,2,1577,71,7,25,22,17,13,34,0,11,1,17,1,284
2020-07-15,13,1590,80,13,28,22,17,12,31,0,11,1,17,0,284
2020-07-16,5,1595,76,15,20,20,21,14,34,0,12,2,21,0,284
2020-07-17,6,1601,74,11,22,21,20,13,34,0,11,2,20,2,286
2020-07-18,8,1609,74,14,23,18,19,12,33,0,11,1,19,0,286
2020-07-19,4,1613,74,11,24,20,19,14,34,0,12,2,19,1,287
2020-07-20,3,1616,71,12,25,16,18,14,30,0,11,2,18,0,287
2020-07-21,10,1626,78,16,22,18,22,13,30,0,10,2,22,1,288
2020-07-22,17,1643,92,26,27,18,21,12,30,0,10,2,21,2,290
2020-07-23,10,1653,91,22,25,24,20,14,34,0,10,2,20,1,291
2020-07-24,9,1662,94,22,26,30,16,15,25,0,10,2,16,1,292
2020-07-25,9,1671,92,20,30,27,15,14,25,0,9,1,15,1,293
2020-07-26,5,1676,91,20,31,26,14,14,27,0,9,1,14,0,293
2020-07-27,22,1698,109,29,37,26,17,16,30,0,11,1,17,1,294
2020-07-28,11,1709,114,30,36,31,17,16,30,0,12,1,18,0,294
2020-07-29,15,1724,116,27,36,35,18,18,33,0,13,1,19,0,294
2020-07-30,12,1736,117,22,35,40,20,18,35,0,14,1,20,2,296
2020-07-31,12,1748,114,25,30,40,19,17,32,0,11,1,19,2,298
2020-08-01,8,1756,116,26,35,36,19,15,30,0,10,1,19,1,299
2020-08-02,3,1759,109,23,34,34,18,15,27,0,12,1,19,1,300
2020-08-03,10,1769,113,25,33,39,16,14,35,0,10,1,16,2,302
2020-08-04,14,1783,115,20,45,37,13,14,35,0,9,1,13,0,302
2020-08-05,9,1792,110,20,45,30,15,15,24,0,8,1,15,1,303
2020-08-06,4,1796,105,19,44,28,14,15,22,0,10,1,14,1,304
2020-08-07,14,1810,106,16,45,29,16,17,22,0,10,1,16,0,304
2020-08-08,9,1819,104,17,41,30,16,12,21,0,8,1,16,0,304
2020-08-09,13,1832,107,15,48,27,17,20,27,0,11,1,17,0,304
2020-08-10,12,1844,113,21,42,27,23,22,29,0,14,1,23,0,304
2020-08-11,8,1852,110,17,39,31,23,21,31,0,14,1,23,2,306
2020-08-12,13,1865,101,9,36,34,22,22,29,0,15,1,22,0,306
2020-08-13,13,1878,106,10,35,38,23,23,30,0,16,1,23,1,307
2020-08-14,19,1897,113,7,45,37,24,22,33,0,16,1,24,2,309
2020-08-15,12,1909,103,6,43,28,26,21,34,0,15,1,26,1,310
2020-08-16,11,1920,101,6,40,31,24,21,32,0,17,1,25,2,312
2020-08-17,16,1936,113,10,50,27,26,22,24,0,18,1,27,3,315
2020-08-18,6,1942,103,8,43,27,25,25,27,0,18,1,26,0,315
2020-08-19,14,1956,108,7,46,31,24,27,26,0,20,1,25,3,318
2020-08-20,22,1978,116,8,49,35,24,27,33,0,20,1,24,3,321
2020-08-21,22,2000,119,11,46,38,24,24,34,0,18,1,24,2,323
2020-08-22,14,2014,124,8,54,36,26,26,36,0,19,1,26,0,323
2020-08-23,10,2024,128,10,53,41,24,29,46,0,19,1,24,2,325
2020-08-24,9,2033,129,10,48,39,32,33,47,0,21,1,32,1,326
2020-08-25,16,2049,131,13,53,33,32,29,41,0,19,1,32,2,328
2020-08-26,15,2064,136,9,62,33,32,31,41,0,20,0,33,1,329
2020-08-27,21,2085,147,12,52,51,32,34,49,0,22,0,33,0,329
2020-08-28,22,2107,155,9,52,57,37,37,62,0,22,0,37,0,329
2020-08-29,14,2121,153,10,49,58,36,37,58,0,25,0,36,3,332
2020-08-30,15,2136,153,7,56,54,36,39,58,0,25,0,36,1,333
2020-08-31,22,2158,170,8,66,60,36,40,57,0,26,0,36,1,334
2020-09-01,20,2178,177,10,69,57,41,45,60,0,27,0,41,1,335
2020-09-02,19,2197,179,15,65,57,42,49,53,0,29,0,42,0,335
2020-09-03,36,2233,194,20,73,57,44,46,55,0,32,0,44,4,339
2020-09-04,26,2259,198,16,73,60,49,51,56,0,34,1,50,2,341
2020-09-05,33,2292,208,11,78,67,52,49,67,0,34,0,52,4,345
2020-09-06,20,2312,219,11,81,71,56,52,74,0,36,0,56,3,348
2020-09-07,45,2357,255,15,97,78,65,53,85,0,40,0,66,1,349
2020-09-08,27,2384,252,19,84,92,57,50,86,0,37,1,57,4,353
2020-09-09,47,2431,265,17,85,102,61,55,102,0,40,1,62,3,356
2020-09-10,35,2466,272,15,86,104,67,58,103,0,42,1,67,3,359
2020-09-11,55,2521,307,14,111,116,66,62,123,0,44,1,67,3,362
2020-09-12,31,2552,283,14,96,110,63,57,118,0,42,1,64,4,366
2020-09-13,46,2598,305,12,108,120,65,63,131,0,45,1,66,3,369
2020-09-14,52,2650,339,20,124,120,75,70,135,0,42,1,75,4,373
2020-09-15,78,2728,369,21,152,122,74,70,145,0,42,1,74,6,379
2020-09-16,73,2801,399,24,161,134,80,74,166,0,43,2,80,7,386
2020-09-17,133,2934,493,32,203,167,91,81,193,0,50,4,91,5,391
2020-09-18,86,3020,525,41,195,193,96,98,206,0,58,4,97,11,402
2020-09-19,74,3094,508,30,188,197,93,112,221,0,57,3,94,6,408
2020-09-20,59,3153,532,23,200,203,106,122,233,0,59,3,107,5,413
2020-09-21,104,3257,612,32,237,230,113,144,267,0,71,3,114,14,427
2020-09-22,105,3362,637,42,238,237,120,137,270,0,75,2,123,10,437
2020-09-23,137,3499,709,52,257,265,135,147,307,0,80,2,139,19,456
2020-09-24,143,3642,768,52,270,290,155,157,347,0,93,4,157,9,465
2020-09-25,136,3778,825,48,296,317,164,158,382,0,96,3,167,8,473
2020-09-26,106,3884,797,33,254,326,184,163,401,0,98,3,187,14,487
2020-09-27,117,4001,823,33,268,334,188,178,412,0,107,3,193,15,502
2020-09-28,100,4101,845,34,290,324,197,191,443,0,101,2,198,9,511
2020-09-29,188,4289,998,64,350,380,204,197,469,0,109,1,206,18,529
2020-09-30,193,4482,1061,78,365,423,195,195,500,0,110,2,196,10,539
2020-10-01,200,4682,1163,70,413,449,231,218,535,0,125,3,232,19,558
2020-10-02,211,4893,1238,64,439,492,243,224,569,0,126,3,244,18,576
2020-10-03,148,5041,1207,44,418,483,262,253,599,0,126,2,263,11,587
2020-10-04,165,5206,1279,50,421,544,264,267,625,1,129,2,265,25,612
2020-10-05,296,5502,1486,90,470,613,313,281,691,2,145,3,320,24,636
2020-10-06,296,5798,1632,117,525,660,330,315,735,2,155,4,335,29,665
2020-10-07,330,6128,1783,162,539,719,363,344,816,11,172,4,368,42,707
2020-10-08,357,6485,1953,185,606,760,402,356,896,24,174,4,405,22,729
2020-10-09,362,6847,2146,207,631,897,411,388,964,56,191,5,417,52,781
2020-10-10,277,7124,2166,216,592,922,436,419,1023,63,205,4,441,41,822
2020-10-11,254,7378,2218,201,631,977,409,410,1092,60,192,3,413,34,856
2020-10-12,498,7876,2577,274,803,1032,468,435,1177,66,217,2,475,58,914
2020-10-13,454,8330,2690,312,821,1063,494,450,1194,71,234,4,500,47,961
2020-10-14,516,8846,2970,327,912,1211,520,477,1320,72,245,5,522,53,1014
2020-10-15,501,9347,3205,346,913,1406,540,514,1501,79,269,7,543,48,1062
2020-10-16,577,9924,3444,351,1034,1487,572,554,1604,85,289,9,577,63,1125
2020-10-17,496,10420,3537,316,1065,1603,553,571,1671,87,301,10,557,71,1196
2020-10-18,483,10903,3697,269,1179,1689,560,596,1774,93,311,12,564,59,1255
2020-10-19,697,11600,4138,337,1336,1854,611,620,1895,88,328,14,617,93,1348
2020-10-20,750,12350,4437,376,1437,1986,638,640,2033,103,343,14,640,88,1436
2020-10-21,915,13265,4846,452,1588,2106,700,702,2182,118,361,14,707,113,1549
2020-10-22,838,14103,5088,497,1663,2210,718,749,2316,120,381,13,728,104,1653
2020-10-23,911,15014,5436,580,1788,2326,742,760,2378,125,377,16,749,113,1766
2020-10-24,702,15716,5355,526,1690,2382,757,758,2493,147,375,12,766,118,1884
2020-10-25,712,16428,5664,568,1792,2497,807,800,2630,145,385,6,811,125,2009
2020-10-26,1084,17512,6179,618,1968,2718,875,882,2835,152,431,5,880,142,2151
2020-10-27,1019,18531,6509,703,2047,2826,933,874,2971,153,455,5,938,162,2313
2020-10-28,824,19355,6562,686,1995,2879,1002,887,3034,178,467,6,1011,144,2457
2020-10-29,1026,20381,7261,865,2272,3090,1034,993,3250,190,521,8,1046,176,2633
2020-10-30,1168,21549,7634,879,2478,3199,1078,1027,3296,192,533,7,1090,195,2828
2020-10-31,685,22234,7303,818,2274,3100,1111,1065,3357,204,558,7,1120,165,2993
2020-11-01,617,22851,7436,807,2259,3234,1136,1113,3441,208,573,7,1138,186,3179
2020-11-02,1043,23894,8010,925,2576,3326,1183,1149,3560,223,601,7,1189,193,3372
2020-11-03,1016,24910,8096,925,2622,3349,1200,1173,3581,223,623,9,1206,231,3603
2020-11-04,934,25844,8155,965,2710,3339,1141,1160,3557,223,602,8,1148,197,3800
2020-11-05,823,26667,8134,954,2730,3305,1145,1170,3485,234,593,9,1151,167,3967
2020-11-06,871,27538,8028,908,2715,3242,1163,1209,3424,274,601,12,1168,179,4146
2020-11-07,534,28072,7403,795,2364,3125,1119,1154,3349,270,582,12,1123,177,4323
2020-11-08,499,28571,7383,753,2326,3177,1127,1165,3356,281,582,13,1132,168,4491
2020-11-09,830,29401,7668,886,2529,3123,1130,1180,3294,281,609,19,1139,152,4643
2020-11-10,841,30242,7497,905,2443,3065,1084,1166,3198,297,604,19,1090,191,4834
2020-11-11,700,30942,7253,915,2355,2948,1035,1107,2968,290,581,18,1046,161,4995
2020-11-12,675,31617,7096,940,2249,2845,1062,1103,2891,319,557,17,1076,151,5146
2020-11-13,754,32371,6987,946,2229,2767,1045,1100,2750,329,545,16,1059,157,5303
2020-11-14,444,32815,6461,835,2001,2601,1024,1068,2630,331,526,15,1035,160,5463
2020-11-15,353,33168,6305,780,1970,2545,1010,1043,2555,314,516,15,1018,130,5593
2020-11-16,657,33825,6528,887,2148,2533,960,1037,2561,289,502,15,969,142,5735
2020-11-17,422,34247,6085,783,1943,2464,895,993,2486,283,470,14,908,112,5847
2020-11-18,679,34926,6458,935,2188,2448,887,1003,2443,283,471,16,899,134,5981
2020-11-19,559,35485,6225,833,2149,2359,884,972,2364,282,465,18,893,111,6092
2020-11-20,494,35979,5994,830,2041,2299,824,958,2267,277,445,20,832,100,6192
2020-11-21,326,36305,5357,672,1683,2183,819,943,2144,277,450,23,827,117,6309
2020-11-22,274,36579,5321,635,1723,2149,814,958,2129,274,447,23,823,98,6407
2020-11-23,547,37126,5678,829,1879,2149,821,947,2158,272,437,21,828,111,6518
2020-11-24,580,37706,5507,813,1829,2075,790,876,2096,276,405,22,799,109,6627
2020-11-25,477,38183,5297,767,1751,2032,747,852,2024,264,389,19,758,103,6730
2020-11-26,443,38626,5141,747,1717,1934,743,839,1933,258,394,18,752,114,6844
2020-11-27,400,39026,4928,741,1631,1852,704,794,1810,238,367,17,710,118,6962
2020-11-28,266,39292,4459,566,1423,1818,652,775,1505,231,356,12,656,98,7060
2020-11-29,287,39579,4523,613,1428,1844,638,760,1545,237,339,12,641,78,7138
2020-11-30,504,40083,4818,691,1619,1844,664,784,1541,237,347,11,666,110,7248
2020-12-01,451,40534,4650,672,1557,1833,588,726,1531,215,319,10,591,93,7341
2020-12-02,445,40979,4547,658,1542,1757,589,710,1472,224,305,11,592,98,7439
2020-12-03,477,41456,4502,607,1525,1789,581,712,1465,234,293,11,584,86,7525
2020-12-04,489,41945,4459,663,1445,1775,576,708,1495,223,291,11,580,82,7607
2020-12-05,280,42225,4097,558,1246,1732,561,684,1480,208,297,11,563,103,7710
2020-12-06,300,42525,4144,542,1293,1757,552,671,1507,215,292,12,555,77,7787
2020-12-07,511,43036,4486,643,1439,1839,562,709,1556,223,291,11,565,85,7872
2020-12-08,464,43500,4394,632,1385,1821,555,698,1526,222,287,8,558,79,7951
2020-12-09,547,44047,4451,602,1450,1861,538,684,1570,216,279,10,541,73,8024
2020-12-10,486,44533,4540,605,1515,1859,561,710,1590,215,299,8,564,98,8122
2020-12-11,452,44985,4521,598,1509,1836,578,698,1561,214,309,9,579,99,8221
2020-12-12,359,45344,4292,513,1355,1861,563,694,1603,227,305,6,567,86,8307
2020-12-13,340,45684,4401,504,1400,1921,576,708,1641,221,303,7,579,97,8404
2020-12-14,543,46227,4759,680,1512,1962,604,726,1681,246,313,9,607,113,8517
2020-12-15,570,46797,4736,660,1477,2005,594,722,1705,234,308,9,596,98,8615
2020-12-16,485,47282,4703,636,1459,2007,601,735,1690,241,313,9,602,100,8715
2020-12-17,520,47802,4758,692,1498,1971,597,724,1652,250,303,9,598,96,8811
2020-12-18,526,48328,4777,690,1517,1972,598,726,1655,253,312,8,599,91,8902
2020-12-19,335,48663,4478,583,1379,1921,595,740,1647,264,306,9,596,102,9004
2020-12-20,374,49037,4574,548,1439,1974,613,750,1681,272,300,10,614,86,9090
2020-12-21,554,49591,4956,688,1642,2000,626,760,1681,275,305,9,627,90,9180
2020-12-22,632,50223,4929,612,1631,2051,635,765,1714,271,318,7,636,92,9272
2020-12-23,639,50862,4954,621,1567,2100,665,775,1737,277,331,9,667,103,9375
2020-12-24,370,51232,4299,446,1283,1927,643,744,1645,278,319,9,644,99,9474
2020-12-25,470,51702,4374,443,1274,2000,656,765,1747,281,330,8,656,88,9562
2020-12-26,525,52227,4636,433,1374,2130,699,803,1860,300,349,10,699,114,9676
2020-12-27,559,52786,4950,454,1477,2287,732,844,1984,307,368,12,732,100,9776
2020-12-28,866,53652,5703,578,1689,2652,784,904,2294,330,390,14,785,120,9896
2020-12-29,930,54582,5953,585,1785,2735,848,939,2352,371,411,15,849,123,10019
2020-12-30,808,55390,6119,572,1819,2865,863,954,2477,367,426,18,864,138,10157
2020-12-31,769,56159,6136,561,1803,2894,878,970,2498,380,435,18,879,115,10272
2021-01-01,576,56735,5643,436,1484,2832,891,947,2497,400,434,15,892,142,10414
2021-01-02,690,57425,5948,427,1607,3018,896,957,2684,390,455,16,897,134,10548
2021-01-03,650,58075,6262,447,1723,3159,933,1002,2801,397,474,18,934,124,10672
2021-01-04,997,59072,7201,634,2096,3476,995,1088,3024,422,511,20,995,131,10803
2021-01-05,1007,60079,7381,660,2190,3488,1043,1109,3053,449,534,19,1043,157,10960
2021-01-06,905,60984,7371,575,2182,3533,1081,1147,3088,468,553,20,1082,142,11102
2021-01-07,905,61889,7510,636,2176,3576,1122,1146,3081,482,564,22,1123,173,11275
2021-01-08,801,62690,7305,639,2144,3399,1123,1140,2935,531,535,21,1124,180,11455
2021-01-09,584,63274,6728,489,1806,3343,1090,1146,2968,513,530,20,1090,149,11604
2021-01-10,543,63817,6838,490,1884,3348,1116,1172,2976,517,549,20,1116,160,11764
2021-01-11,849,64666,7378,684,2102,3427,1165,1185,2980,540,566,20,1165,151,11915
2021-01-12,857,65523,7432,717,2044,3519,1151,1170,3047,515,563,17,1151,159,12074
2021-01-13,691,66214,7259,677,2056,3387,1139,1167,2969,508,568,13,1140,153,12227
2021-01-14,665,66879,7182,691,1987,3363,1141,1176,2929,491,584,14,1141,166,12393
2021-01-15,710,67589,7098,721,1959,3276,1142,1167,2876,485,595,15,1142,155,12548
2021-01-16,446,68035,6476,560,1668,3116,1132,1157,2762,492,583,16,1132,134,12682
2021-01-17,391,68426,6442,559,1699,3068,1116,1128,2748,484,589,14,1116,137,12819
2021-01-18,695,69121,6929,749,1947,3110,1123,1153,2704,483,587,15,1123,144,12963
2021-01-19,688,69809,6646,690,1873,2984,1097,1134,2642,481,576,15,1098,135,13098
2021-01-20,667,70476,6477,600,1804,2983,1090,1109,2597,487,559,16,1090,137,13235
2021-01-21,579,71055,6355,612,1731,2948,1064,1102,2588,481,553,19,1065,134,13369
2021-01-22,595,71650,6333,596,1724,2922,1091,1106,2557,484,538,17,1091,123,13492
2021-01-23,453,72103,5831,441,1500,2822,1068,1089,2522,478,535,19,1068,127,13619
2021-01-24,382,72485,5872,431,1536,2845,1060,1056,2523,460,538,18,1060,129,13748
2021-01-25,656,73141,6291,591,1793,2869,1037,1078,2546,465,538,17,1037,123,13871
2021-01-26,632,73773,6254,559,1745,2911,1039,1045,2528,443,547,15,1039,133,14004
2021-01-27,585,74358,6097,552,1717,2824,1004,1036,2420,423,547,17,1004,144,14148
2021-01-28,557,74915,5990,552,1688,2749,1001,1017,2361,421,543,16,1001,117,14265
2021-01-29,615,75530,5933,555,1691,2711,976,1017,2344,423,514,16,976,143,14408
2021-01-30,426,75956,5493,422,1411,2699,961,1022,2378,393,522,16,961,106,14514
2021-01-31,386,76342,5540,416,1447,2707,970,1040,2374,401,529,17,970,104,14618
2021-02-01,734,77076,6067,549,1668,2827,1023,1079,2459,428,547,19,1023,116,14734
2021-02-02,633,77709,5958,487,1678,2762,1031,1089,2395,457,531,17,1031,124,14858
2021-02-03,613,78322,5928,482,1653,2778,1015,1076,2418,452,531,16,1015,123,14981
2021-02-04,628,78950,5953,493,1645,2783,1032,1103,2398,449,548,17,1032,117,15098
2021-02-05,584,79534,5936,502,1652,2738,1043,1089,2373,462,541,17,1043,110,15208
2021-02-06,471,80005,5604,405,1464,2691,1044,1072,2352,463,527,17,1044,116,15324
